"method","n_features","threshold","typeI_H0_ng","nuisance_H1_gauss","power_H1_ng","accuracy","balanced_accuracy","alpha","patp_basis","cond_h0","cond_h1","cond_max"
"dsge",3,0.64158662689211,0,0.103333333333333,0.135,0.677222222222222,0.541666666666667,0.65,"patp_n3_a0.65",39449.6453558796,39498.1627545142,39498.1627545142
"hybrid",14,0.534278632983334,0.02,0.055,0.856666666666667,0.927222222222222,0.909583333333333,0.65,"patp_n3_a0.65",39449.6453558796,39498.1627545142,39498.1627545142
"existing",11,0.745108346306963,0.00833333333333333,0.0933333333333333,0.611666666666667,0.836666666666667,0.780416666666667,0.7,"patp_n3_a0.70",38507.02286802,38645.005168942,38645.005168942
"dsge",3,0.637277878207148,0,0.106666666666667,0.136666666666667,0.676666666666667,0.541666666666667,0.7,"patp_n3_a0.70",38507.02286802,38645.005168942,38645.005168942
"hybrid",14,0.516003269769542,0.02,0.0566666666666667,0.863333333333333,0.928888888888889,0.9125,0.7,"patp_n3_a0.70",38507.02286802,38645.005168942,38645.005168942
"existing",11,0.745108346306963,0.00833333333333333,0.0933333333333333,0.611666666666667,0.836666666666667,0.780416666666667,0.75,"patp_n3_a0.75",36185.2694111924,36526.7054726756,36526.7054726756
"dsge",3,0.634740153789961,0,0.111666666666667,0.135,0.674444444444444,0.539583333333333,0.75,"patp_n3_a0.75",36185.2694111924,36526.7054726756,36526.7054726756
"hybrid",14,0.498121127371081,0.0233333333333333,0.055,0.886666666666667,0.936111111111111,0.92375,0.75,"patp_n3_a0.75",36185.2694111924,36526.7054726756,36526.7054726756
"existing",11,0.745108346306963,0.00833333333333333,0.0933333333333333,0.611666666666667,0.836666666666667,0.780416666666667,0.8,"patp_n3_a0.80",31594.9630485966,32237.6707737592,32237.6707737592
"dsge",3,0.638187380258387,0,0.11,0.131666666666667,0.673888888888889,0.538333333333333,0.8,"patp_n3_a0.80",31594.9630485966,32237.6707737592,32237.6707737592
"hybrid",14,0.506279600490829,0.0216666666666667,0.0533333333333333,0.881666666666667,0.935555555555556,0.922083333333333,0.8,"patp_n3_a0.80",31594.9630485966,32237.6707737592,32237.6707737592
"existing",11,0.745108346306963,0.00833333333333333,0.0933333333333333,0.611666666666667,0.836666666666667,0.780416666666667,0.85,"patp_n3_a0.85",24850.2524416456,25699.9701056865,25699.9701056865
"dsge",3,0.638948794785045,0,0.116666666666667,0.136666666666667,0.673333333333333,0.539166666666667,0.85,"patp_n3_a0.85",24850.2524416456,25699.9701056865,25699.9701056865
"hybrid",14,0.556101566020513,0.0216666666666667,0.0533333333333333,0.85,0.925,0.90625,0.85,"patp_n3_a0.85",24850.2524416456,25699.9701056865,25699.9701056865
"existing",11,0.745108346306963,0.00833333333333333,0.0933333333333333,0.611666666666667,0.836666666666667,0.780416666666667,0.9,"patp_n3_a0.90",17638.9210995293,18389.2415317366,18389.2415317366
"dsge",3,0.649607781707129,0,0.115,0.135,0.673333333333333,0.53875,0.9,"patp_n3_a0.90",17638.9210995293,18389.2415317366,18389.2415317366
"hybrid",14,0.581129229044555,0.015,0.0666666666666667,0.818333333333333,0.912222222222222,0.88875,0.9,"patp_n3_a0.90",17638.9210995293,18389.2415317366,18389.2415317366
"existing",11,0.745108346306963,0.00833333333333333,0.0933333333333333,0.611666666666667,0.836666666666667,0.780416666666667,0.95,"patp_n3_a0.95",11738.8158877319,12155.6336676443,12155.6336676443
"dsge",3,0.650067562228891,0,0.12,0.145,0.675,0.5425,0.95,"patp_n3_a0.95",11738.8158877319,12155.6336676443,12155.6336676443
"hybrid",14,0.574975689166208,0.02,0.0733333333333333,0.813333333333333,0.906666666666667,0.883333333333333,0.95,"patp_n3_a0.95",11738.8158877319,12155.6336676443,12155.6336676443
"existing",11,0.745108346306963,0.00833333333333333,0.0933333333333333,0.611666666666667,0.836666666666667,0.780416666666667,1,"patp_n3_a1.00",7628.79577567394,7745.40817548417,7745.40817548417
"dsge",3,0.652574722322908,0,0.123333333333333,0.141666666666667,0.672777777777778,0.54,1,"patp_n3_a1.00",7628.79577567394,7745.40817548417,7745.40817548417
"hybrid",14,0.597366865665381,0.0183333333333333,0.0733333333333333,0.795,0.901111111111111,0.874583333333333,1,"patp_n3_a1.00",7628.79577567394,7745.40817548417,7745.40817548417
